epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00447,0.88654,1.92234,1.2939,0.98633,0.72874,0.82601,0.6307,0.96044,2.57594,1.37249,0.000651515,0.000651515,0.000651515
2,15.0344,0.85524,1.37213,1.24174,0.93691,0.90006,0.93032,0.70259,0.93567,1.84528,1.29806,0.00129208,0.00129208,0.00129208
3,22.0101,0.88395,1.22013,1.23541,0.95491,0.85573,0.9482,0.69473,1.05806,1.47901,1.54404,0.00190625,0.00190625,0.00190625
4,28.9465,0.87687,1.09305,1.21004,0.95417,0.84848,0.92727,0.6891,1.10062,1.25581,1.43512,0.0018812,0.0018812,0.0018812
5,35.8908,0.89244,1.05642,1.23287,0.94364,0.93939,0.94501,0.67013,1.04838,1.23047,1.37797,0.0018416,0.0018416,0.0018416
6,42.8859,0.8151,0.90162,1.18102,0.88922,0.89193,0.92872,0.77265,0.92716,1.01461,1.19857,0.001802,0.001802,0.001802
7,49.893,0.78032,0.82904,1.1553,0.95831,0.92872,0.95513,0.76502,0.87746,1.12339,1.18012,0.0017624,0.0017624,0.0017624
8,56.8238,0.79076,0.79488,1.13733,0.93734,0.90657,0.93786,0.70476,0.89441,0.95556,1.21456,0.0017228,0.0017228,0.0017228
9,63.8059,0.77176,0.77781,1.1417,0.98917,0.92284,0.96814,0.79825,0.84183,0.80917,1.17021,0.0016832,0.0016832,0.0016832
10,70.786,0.78812,0.73905,1.14892,0.96692,0.8858,0.94557,0.76896,0.84427,0.87832,1.18623,0.0016436,0.0016436,0.0016436
11,77.6034,0.76301,0.68789,1.12833,0.98926,0.93049,0.97767,0.80776,0.79765,0.69044,1.10472,0.001604,0.001604,0.001604
12,84.5657,0.76832,0.67025,1.1327,0.98848,0.93939,0.98071,0.80258,0.74245,0.60478,1.10017,0.0015644,0.0015644,0.0015644
13,91.5055,0.74382,0.60069,1.12816,0.98694,0.93939,0.97839,0.77519,0.77754,0.5912,1.1197,0.0015248,0.0015248,0.0015248
14,98.6698,0.73561,0.59342,1.11424,0.99248,0.92929,0.95771,0.76566,0.902,0.68111,1.18988,0.0014852,0.0014852,0.0014852
15,105.652,0.73124,0.61259,1.12719,0.99577,0.93939,0.98207,0.80559,0.84615,0.63645,1.14076,0.0014456,0.0014456,0.0014456
16,112.705,0.71213,0.59069,1.09948,0.98275,0.9798,0.98605,0.8108,0.80611,0.58403,1.13048,0.001406,0.001406,0.001406
17,119.705,0.70661,0.55156,1.09209,0.99738,0.93939,0.97161,0.81348,0.76482,0.5317,1.07398,0.0013664,0.0013664,0.0013664
18,126.614,0.72694,0.56413,1.08873,0.98653,0.9596,0.96446,0.80587,0.76234,0.59276,1.07453,0.0013268,0.0013268,0.0013268
19,133.53,0.68031,0.53837,1.07584,0.98639,0.9596,0.96734,0.8223,0.75534,0.55357,1.06048,0.0012872,0.0012872,0.0012872
20,140.534,0.68303,0.53841,1.08106,0.99433,0.9596,0.98156,0.82118,0.76819,0.53096,1.05468,0.0012476,0.0012476,0.0012476
21,147.447,0.67826,0.52053,1.07748,0.99991,0.9596,0.98242,0.8262,0.73472,0.49673,1.03996,0.001208,0.001208,0.001208
22,154.418,0.70431,0.51387,1.08148,0.97956,0.96813,0.98403,0.82958,0.73406,0.47272,1.03496,0.0011684,0.0011684,0.0011684
23,161.398,0.68884,0.50052,1.09128,0.99615,0.9596,0.98601,0.83274,0.75907,0.45523,1.06486,0.0011288,0.0011288,0.0011288
