epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,168.413,0.64701,0.47059,1.06805,0.97924,0.9697,0.99119,0.83303,0.733,0.45722,1.05009,0.0010892,0.0010892,0.0010892
25,175.356,0.6353,0.46779,1.05228,0.97017,0.98561,0.98499,0.82563,0.71692,0.48086,1.04389,0.0010496,0.0010496,0.0010496
26,182.271,0.6557,0.4673,1.05914,0.99819,0.94949,0.97856,0.81861,0.7206,0.48237,1.04553,0.00101,0.00101,0.00101
27,189.2,0.67348,0.46856,1.07248,0.99732,0.9596,0.98448,0.8215,0.69937,0.4516,1.03073,0.0009704,0.0009704,0.0009704
28,196.143,0.64826,0.48769,1.07798,1,0.95632,0.97139,0.83828,0.68059,0.46869,1.02612,0.0009308,0.0009308,0.0009308
29,203.08,0.6411,0.45647,1.06708,0.97971,0.97553,0.99018,0.8347,0.69979,0.42422,1.05468,0.0008912,0.0008912,0.0008912
30,210.076,0.62183,0.45555,1.04513,0.99909,0.94949,0.98035,0.82809,0.71967,0.43428,1.0544,0.0008516,0.0008516,0.0008516
31,217.002,0.6197,0.436,1.06798,0.99517,0.94949,0.97618,0.8298,0.71656,0.4399,1.07326,0.000812,0.000812,0.000812
32,223.962,0.60664,0.43317,1.04282,0.99675,0.9596,0.98898,0.84797,0.69537,0.43416,1.04061,0.0007724,0.0007724,0.0007724
33,230.96,0.59328,0.41845,1.03136,0.99829,0.9596,0.991,0.8366,0.71771,0.40222,1.05417,0.0007328,0.0007328,0.0007328
34,237.973,0.60154,0.41944,1.03458,0.98957,0.95815,0.99246,0.84715,0.70671,0.40896,1.06458,0.0006932,0.0006932,0.0006932
35,244.924,0.58379,0.39409,1.03122,0.99657,0.94949,0.98845,0.85273,0.69987,0.3977,1.04579,0.0006536,0.0006536,0.0006536
36,251.862,0.578,0.39672,1.02806,0.98598,0.9697,0.98588,0.83607,0.68075,0.37967,1.01782,0.000614,0.000614,0.000614
37,258.741,0.59344,0.3989,1.02661,1,0.95644,0.98544,0.85463,0.70496,0.36608,1.03008,0.0005744,0.0005744,0.0005744
38,265.619,0.56669,0.37723,1.01597,0.97949,0.9798,0.98823,0.85087,0.68675,0.3942,1.01736,0.0005348,0.0005348,0.0005348
39,272.588,0.54342,0.36562,1.03007,0.98979,0.97924,0.99199,0.85058,0.69452,0.37991,1.01972,0.0004952,0.0004952,0.0004952
40,279.463,0.57331,0.38666,1.02593,0.97025,0.98841,0.99338,0.85072,0.67387,0.37326,1.00358,0.0004556,0.0004556,0.0004556
41,286.037,0.50262,0.35424,0.98072,0.97807,0.9798,0.98819,0.85507,0.69341,0.39053,1.02315,0.000416,0.000416,0.000416
42,292.633,0.48451,0.33731,0.97627,0.97742,0.9899,0.98935,0.84959,0.70269,0.36403,1.01747,0.0003764,0.0003764,0.0003764
43,299.133,0.50322,0.3282,0.98273,0.97898,0.9899,0.99403,0.83915,0.68132,0.36432,1.01313,0.0003368,0.0003368,0.0003368
44,305.627,0.47318,0.31174,0.94617,0.99994,0.9697,0.9865,0.85473,0.65166,0.35301,0.99833,0.0002972,0.0002972,0.0002972
45,312.123,0.46035,0.30416,0.95091,0.98989,0.98857,0.99116,0.84882,0.65531,0.34957,0.99458,0.0002576,0.0002576,0.0002576
46,318.575,0.47285,0.30691,0.95073,0.98989,0.9889,0.98739,0.84363,0.67218,0.34256,1.00586,0.000218,0.000218,0.000218
47,325.168,0.46546,0.29663,0.94605,0.99752,0.9899,0.98636,0.85412,0.67157,0.32175,1.0137,0.0001784,0.0001784,0.0001784
48,331.724,0.44561,0.29577,0.96226,1,0.96872,0.99394,0.86103,0.6778,0.33307,1.01415,0.0001388,0.0001388,0.0001388
49,338.371,0.44668,0.28363,0.95088,0.97918,0.9899,0.99099,0.85564,0.68584,0.33975,1.01786,9.92e-05,9.92e-05,9.92e-05
50,344.964,0.44443,0.287,0.94544,0.97876,0.9899,0.98876,0.85816,0.67242,0.33948,1.01043,5.96e-05,5.96e-05,5.96e-05
