epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72562,0.97065,2.14003,1.32565,0.00679,0.86892,0.80035,0.66491,0.78006,3.17404,1.19236,0.00042,0.00042,0.00042
2,14.4092,0.81118,1.29222,1.21764,0.95718,0.72727,0.80777,0.51091,1.04936,3.12024,1.36762,0.000842972,0.000842972,0.000842972
3,21.0065,0.84413,1.18141,1.21898,0.93755,0.73737,0.83285,0.62734,1.04757,2.57834,1.41203,0.00124852,0.00124852,0.00124852
4,27.4999,0.83447,1.07211,1.20034,0.2951,0.16162,0.15569,0.06394,1.93925,3.09089,1.99721,0.00163664,0.00163664,0.00163664
5,33.9965,0.85894,1.05603,1.20499,0.31545,0.76768,0.29769,0.11654,1.68536,8.15365,1.99469,0.0018416,0.0018416,0.0018416
6,40.5201,0.82624,0.93341,1.17801,0.80876,0.82828,0.88611,0.64941,1.15217,2.66801,1.45585,0.001802,0.001802,0.001802
7,47.0612,0.80508,0.86883,1.16876,0.84232,0.91919,0.92781,0.73454,0.9967,1.21784,1.25675,0.0017624,0.0017624,0.0017624
8,53.5718,0.74221,0.76332,1.1249,0.86488,0.91919,0.93719,0.77032,0.97665,1.10075,1.18198,0.0017228,0.0017228,0.0017228
9,60.1154,0.73538,0.73975,1.11147,0.89788,0.88814,0.92776,0.71975,0.92854,1.23972,1.21351,0.0016832,0.0016832,0.0016832
10,66.6323,0.7477,0.69166,1.1086,0.98955,0.95632,0.96556,0.77344,0.90634,0.80161,1.17975,0.0016436,0.0016436,0.0016436
11,73.0013,0.75483,0.67642,1.11478,0.93868,0.92929,0.95142,0.73686,0.93402,0.86795,1.27555,0.001604,0.001604,0.001604
12,79.4935,0.75933,0.63617,1.12352,0.90305,0.94088,0.96155,0.8048,0.79407,0.7267,1.09452,0.0015644,0.0015644,0.0015644
13,85.9876,0.72573,0.58291,1.11022,0.97436,0.94949,0.96447,0.78373,0.85888,0.74275,1.11252,0.0015248,0.0015248,0.0015248
14,92.6285,0.74679,0.62897,1.11068,0.98615,0.91919,0.95569,0.77622,0.86489,0.73696,1.12376,0.0014852,0.0014852,0.0014852
15,99.3056,0.70803,0.58284,1.10832,0.99815,0.93939,0.97756,0.81102,0.8161,0.58701,1.10865,0.0014456,0.0014456,0.0014456
16,105.964,0.72731,0.57488,1.10782,0.98932,0.9359,0.97456,0.78138,0.88199,0.66151,1.12558,0.001406,0.001406,0.001406
17,112.458,0.69969,0.54127,1.09862,0.99255,0.93939,0.97278,0.80729,0.7893,0.60989,1.09139,0.0013664,0.0013664,0.0013664
18,118.789,0.6677,0.54462,1.06779,1,0.94831,0.99084,0.82969,0.75943,0.54894,1.05215,0.0013268,0.0013268,0.0013268
19,125.105,0.63982,0.50502,1.05855,0.9446,0.90909,0.97141,0.80571,0.78265,0.70448,1.10512,0.0012872,0.0012872,0.0012872
20,131.472,0.68152,0.52,1.0715,0.9855,0.94949,0.97735,0.81624,0.8231,0.56422,1.08602,0.0012476,0.0012476,0.0012476
21,137.737,0.66496,0.50603,1.07875,0.98945,0.94725,0.97486,0.83011,0.78547,0.54378,1.07773,0.001208,0.001208,0.001208
22,143.972,0.70363,0.50605,1.08504,0.99392,0.9596,0.98287,0.8295,0.86009,0.49174,1.12584,0.0011684,0.0011684,0.0011684
23,150.283,0.66888,0.48838,1.0915,1,0.95286,0.96984,0.81557,0.81931,0.53364,1.08322,0.0011288,0.0011288,0.0011288
24,156.613,0.65028,0.46694,1.0683,0.97956,0.96815,0.98162,0.82155,0.82092,0.54762,1.1135,0.0010892,0.0010892,0.0010892
25,162.891,0.63874,0.4733,1.05697,1,0.95493,0.97584,0.80843,0.85621,0.53434,1.13399,0.0010496,0.0010496,0.0010496
26,169.14,0.66935,0.46918,1.06722,0.9962,0.9798,0.97916,0.82686,0.79718,0.47524,1.13152,0.00101,0.00101,0.00101
27,175.414,0.62814,0.43353,1.04263,0.99653,0.9596,0.97927,0.82997,0.84706,0.46975,1.07981,0.0009704,0.0009704,0.0009704
