epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,181.698,0.63464,0.45331,1.04917,0.98958,0.95885,0.97057,0.82168,0.79872,0.4863,1.06662,0.0009308,0.0009308,0.0009308
29,187.98,0.60432,0.4255,1.03876,0.98966,0.96687,0.9787,0.84212,0.77486,0.459,1.07443,0.0008912,0.0008912,0.0008912
30,194.303,0.61003,0.43979,1.04447,0.988,0.9697,0.97596,0.82218,0.84593,0.47428,1.10483,0.0008516,0.0008516,0.0008516
31,200.536,0.59649,0.43409,1.04521,0.99959,0.9697,0.97965,0.8442,0.82064,0.50113,1.10881,0.000812,0.000812,0.000812
32,206.852,0.56541,0.4169,1.03244,0.97941,0.96118,0.96916,0.84314,0.71314,0.44958,1.02677,0.0007724,0.0007724,0.0007724
33,213.198,0.56165,0.39164,1.02249,0.97454,0.9596,0.96544,0.84242,0.72833,0.48521,1.02883,0.0007328,0.0007328,0.0007328
34,219.55,0.57976,0.39093,1.03734,1,0.95848,0.96698,0.84329,0.73184,0.46835,1.07396,0.0006932,0.0006932,0.0006932
35,225.827,0.58196,0.38725,1.02199,0.99687,0.9697,0.97078,0.85388,0.74749,0.42428,1.05537,0.0006536,0.0006536,0.0006536
36,232.158,0.57058,0.3905,1.03176,0.98794,0.9697,0.9741,0.85137,0.71439,0.40227,1.04876,0.000614,0.000614,0.000614
37,238.39,0.56608,0.37398,1.02937,0.98499,0.9697,0.97244,0.85944,0.75362,0.42074,1.06206,0.0005744,0.0005744,0.0005744
38,244.672,0.53476,0.3748,1.00161,0.99451,0.9798,0.99158,0.85474,0.74895,0.39428,1.05937,0.0005348,0.0005348,0.0005348
39,250.992,0.54233,0.36714,1.02148,0.99812,0.9596,0.98279,0.84582,0.74378,0.41991,1.05627,0.0004952,0.0004952,0.0004952
40,257.248,0.57273,0.36186,1.01611,0.99741,0.9596,0.98105,0.85706,0.74339,0.42744,1.05165,0.0004556,0.0004556,0.0004556
41,263.171,0.47521,0.34451,0.96747,0.99784,0.9697,0.98171,0.85556,0.72698,0.44614,1.03874,0.000416,0.000416,0.000416
42,269.138,0.48126,0.33607,0.97291,0.9979,0.9697,0.98123,0.85252,0.76397,0.41709,1.05884,0.0003764,0.0003764,0.0003764
43,274.997,0.48245,0.3277,0.97696,0.99654,0.9596,0.9852,0.84702,0.801,0.44076,1.1049,0.0003368,0.0003368,0.0003368
44,280.843,0.45382,0.31595,0.94266,0.99761,0.9596,0.97456,0.85039,0.71799,0.40683,1.0568,0.0002972,0.0002972,0.0002972
45,286.742,0.45971,0.30425,0.95486,0.99554,0.9596,0.98008,0.84848,0.68159,0.42523,1.02277,0.0002576,0.0002576,0.0002576
46,292.566,0.46403,0.301,0.95223,0.98975,0.9596,0.98033,0.85196,0.71603,0.39875,1.04107,0.000218,0.000218,0.000218
47,298.411,0.44988,0.28472,0.95048,0.98911,0.9596,0.97632,0.84895,0.71036,0.37634,1.05119,0.0001784,0.0001784,0.0001784
48,304.244,0.42709,0.28832,0.95712,0.99806,0.9697,0.9767,0.85191,0.70173,0.36468,1.03656,0.0001388,0.0001388,0.0001388
49,310.1,0.42998,0.27521,0.95022,1,0.97761,0.9796,0.85669,0.70931,0.34882,1.0261,9.92e-05,9.92e-05,9.92e-05
50,315.96,0.42511,0.27666,0.93346,0.99821,0.9697,0.97839,0.85785,0.7033,0.3558,1.01884,5.96e-05,5.96e-05,5.96e-05
